Stock,Date,Close,SMA_50,SMA_200,Upper Band,Middle Band,Lower Band,RSI,MACD,MACD Signal,ATR,OBV
LOW,2022-01-31,223.74398803710935,233.08873748779297,201.12558586120605,248.9793748702782,227.34801712036133,205.7166593704445,41.378652627248826,-4.720509571705833,-4.150086168604275,7.780654880414056,236252800
LOW,2023-01-31,200.33045959472656,197.05937133789064,186.95567443847656,203.65671633388396,196.0559120178223,188.45510770176057,60.31590806126979,0.5133469118555638,0.4881737921302205,5.2792487492729565,309286100
LOW,2024-01-31,209.0015106201172,208.61699523925785,206.79146354675296,217.54626283843203,211.12998123168944,204.71369962494688,35.49914984021309,-0.2701501378020623,0.5378644019058463,3.817625503964869,299364800
NWS,2021-06-30,23.55426597595215,23.948543739318847,19.70016243457794,24.686164892236068,23.73128318786621,22.77640148349635,39.26555875151226,-0.2019996051787167,-0.1676988111677807,0.5057706860049586,10484900
NWS,2022-06-30,15.515020370483398,17.418222122192383,20.828432598114013,17.734558083668905,15.974416923522949,14.214275763376993,31.212126055379656,-0.6145714755530367,-0.696719823494183,0.5070313164667141,-965400
NWS,2023-06-30,19.486148834228516,18.258679695129395,17.716227645874024,19.753770789938795,19.165990924835206,18.57821105973162,55.00000321707055,0.2929713870799375,0.3157910165695411,0.3649063656992276,5595900
C,2021-12-31,53.13327407836914,57.18113426208496,61.12392024993896,55.624462677744496,53.46144790649414,51.29843313524379,47.90581323817501,-1.1907255812991977,-1.4669552157415446,1.0696285206194938,-692704200
T,2021-12-31,15.066939353942873,14.896548900604248,16.44319685935974,15.69851938570485,14.54909076690674,13.399662148108629,72.00007629703995,0.1224243611040147,0.0030291429090024,0.3272376616272134,-1525758407
T,2024-12-31,22.48460578918457,22.431875114440917,19.288250784873963,23.74229546113515,22.84947452545166,21.956653589768173,35.54685849495077,-0.0207143842805805,0.0562253841627984,0.3829958228712757,-637577173
AMGN,2021-12-31,202.95465087890625,190.6420184326172,204.75128036499024,209.710749655646,196.90172729492187,184.09270493419777,78.71143976601734,4.392989612893302,3.793347662610947,3.885003444775949,-31858300
JKHY,2021-06-30,156.71937561035156,153.62420806884765,149.99319297790527,162.43819808270163,156.00195388793946,149.5657096931773,51.17868627094674,1.879591687008656,1.9111299811351137,2.6666003563695506,6395800
JKHY,2022-06-30,174.46810913085938,177.97570678710937,168.01606590270995,184.78230715336605,174.83154907226563,164.8807909911652,46.599543259305705,-0.9994257555263176,-1.6220770860903797,3.8046375258077263,14223200
JKHY,2023-06-30,164.10400390625,153.19581390380858,166.07039794921874,166.33750637009075,157.91712646484376,149.49674655959677,74.89449035744853,3.236625938495024,2.8348425536554984,2.785246605302565,21661300
MDT,2021-04-30,116.87124633789062,107.79505661010742,98.89733974456789,120.21680738041454,112.7104034423828,105.20399950435107,83.69001530168798,2.9408825551767563,2.677643443085175,1.6878282485520788,18282900
MDT,2024-04-30,78.232666015625,80.93733322143555,78.3697749710083,82.94208120459905,79.18717613220215,75.43227105980526,39.47633862573957,-0.9655911286451726,-1.0075228862852552,1.2500678108769196,-128041700
TER,2021-12-31,161.26632690429688,146.82367630004882,127.46505596160888,166.60263479698511,157.47653274536134,148.35043069373756,54.7781705166582,4.606307242227899,4.806257216048386,4.490541659611409,-1690700
TER,2024-12-31,125.7860870361328,115.06606231689452,125.5455894088745,133.84242850979962,123.28774642944336,112.7330643490871,64.74295758681757,3.840464256288712,3.759221867195831,4.440272001308045,-14931100
FOX,2021-06-30,33.33629608154297,34.29660789489746,30.344519834518433,34.60736388231335,33.861437225341795,33.11551056837024,41.22348630929426,-0.1339434441987421,-0.1057089904205533,0.6703794530308029,-33913400
FOX,2022-06-30,28.504383087158203,30.422526397705077,33.90935136795044,30.8628034852608,29.218912029266356,27.57502057327191,39.90535936452349,-0.5042372363861709,-0.5775289583959724,0.8221573646785446,-67690300
FOX,2023-06-30,31.08585548400879,29.331633911132812,29.194486865997316,31.66114589791089,30.42446413040161,29.187782362892328,57.357354181172894,0.511750273196359,0.4488980271540048,0.5319535829971629,-95691400
TPR,2021-06-30,39.02534866333008,40.14171630859375,31.33633038043976,39.841256173589315,38.52137451171875,37.20149284984818,53.71820506124024,-0.3901070815375931,-0.49724581519195,1.1687347110697743,167967400
TPR,2022-06-30,28.115779876708984,29.66747730255127,34.15673564910889,33.03236422088515,30.1438551902771,27.255346159669052,37.317364360609595,-0.3045305258737585,-0.14393652038359,1.4515856321706997,160881900
TPR,2023-06-30,40.66447448730469,39.37465866088867,36.60575479507446,41.87305225764868,40.73462181091308,39.596191364177486,51.64190338304368,0.3903654882751581,0.4883947360720445,0.8218405369306235,187178600
DVN,2021-12-31,37.1074104309082,35.087454605102536,25.819522371292113,38.72447674723228,35.48675651550293,32.249036283773584,52.2388088523727,0.6002391287909106,0.3416968366074706,1.650487403772702,338209100
DVN,2024-12-31,32.72999954223633,36.36918590545654,43.29095492362976,37.237662930643985,33.118983554840085,29.000304179036185,36.37046759984848,-1.5488305494494483,-1.6965722848201734,0.8351250104814366,49779300
GOOG,2021-12-31,144.16151428222656,145.4993478393555,132.04554752349853,149.5098615403198,145.4250747680664,141.340287995813,40.124570784911015,0.0550522632143781,0.0899964407897388,2.70212184434318,1635442000
GOOG,2024-12-31,190.44000244140625,179.3504440307617,170.62696166992188,206.47483381177764,189.01934585571288,171.56385789964813,54.27322519556251,4.7812539085935555,5.241324507712225,5.496073041643415,2364740200
NDSN,2022-10-31,219.2462615966797,216.7374838256836,214.7028508758545,222.1742745219705,212.72098922729492,203.26770393261936,60.90213670122703,0.7661690749741297,-0.7157699082764662,5.4101610955819694,12702500
NDSN,2023-10-31,209.52056884765625,223.73138854980468,224.67731742858888,227.8407772613586,215.97107696533203,204.10137666930547,20.569029906272803,-4.235566230719257,-3.872418954832526,3.8845197513496026,16708800
NDSN,2024-10-31,246.9659118652344,252.882633972168,250.54153511047363,258.302999339598,251.71913223266603,245.13526512573404,29.516625759595783,-1.3258277936714649,-0.5473731798930054,3.767327092749038,15484600
F,2021-12-31,16.473867416381836,15.302173080444335,11.839342436790467,16.907198047809718,15.971006059646609,15.034814071483494,42.67239145396951,0.3104329341362728,0.3181415778600354,0.5523771849435812,-687998400
F,2024-12-31,9.586708068847656,10.273072471618653,10.940583786964416,10.542814222807714,9.873825645446775,9.20483706808584,27.397212223907104,-0.2239143969602981,-0.2176060458685884,0.2303299845884866,-2324859200
REGN,2021-12-31,630.7095336914062,631.56021484375,575.5172302246094,677.435153477956,637.7779205322265,598.1206875864971,37.15519745232929,-0.0488458884336751,0.3512027677496467,17.001006447500977,29828000
AVGO,2022-10-31,44.979637145996094,45.665282287597655,51.01917837142944,46.8416684914115,43.20033588409424,39.55900327677698,71.94464883129008,-0.3161841674806567,-0.8622677741787886,1.4034440708580012,997219000
AVGO,2023-10-31,82.63880920410156,83.83149169921874,72.98070436477661,89.38656046236996,84.50158462524413,79.61660878811831,42.57527834821529,-0.1744753000575798,0.25849419234873,2.771120886507258,1214520000
AVGO,2024-10-31,169.31634521484375,168.23705841064452,146.4885863494873,186.45839092849633,177.37475128173827,168.2911116349802,36.19431051369882,0.9548612527454168,2.2884023071490582,5.608543588648274,1987666600
D,2021-12-31,67.56245422363281,64.81928260803222,64.53718673706055,68.69423338814445,66.10043048858643,63.50662758902839,65.43943881297736,0.8932276973347939,0.7906571511748797,1.0645703949143663,-41990200
PSX,2021-12-31,64.1889877319336,65.53214065551758,67.45250684738158,65.56689446037919,63.49095630645752,61.41501815253586,49.79807674474675,-0.1021773133565773,-0.4097143385139198,1.8406754419274456,-55427300
GPN,2021-12-31,131.67324829101562,128.78766006469726,167.28397930145263,135.27842753473993,126.46641159057616,117.65439564641242,66.89525025682313,1.3148285094628989,0.0458056207718541,4.063657254802292,-36479900
LNT,2024-12-31,58.634708404541016,59.8309204864502,54.45972076416015,61.63985467590877,59.51214866638183,57.384442656854894,33.33330592896294,-0.4682506047563635,-0.392440805938199,0.8760226255974521,29001200
APH,2021-12-31,42.45185470581055,39.943664627075194,35.575164575576785,42.86146451021932,40.84910202026367,38.83673953030802,61.40844504927899,0.6952351295808654,0.5070167558166263,0.7942301885511226,158740800
APH,2024-12-31,69.44999694824219,71.32638214111329,65.29928283691406,75.91593900809669,72.28764114379882,68.65934327950096,37.250370481775406,-0.4250548066023469,0.048440909739522,1.6362276410488437,318295500
HUM,2021-12-31,452.2049255371094,437.6932531738281,421.48843963623045,467.9002412980821,442.3511688232422,416.80209634840224,54.12609671558394,6.7352492700822495,5.6802017732715875,7.566720771316089,6190700
HUM,2024-12-31,253.7100067138672,271.22956420898436,319.67583534240725,300.10686054889464,263.5861450195313,227.0654294901679,32.18961175758497,-7.799178140507593,-7.549035513230963,10.263111306955476,-28386100
CFG,2021-12-31,40.77007293701172,41.425918884277344,39.493948230743406,41.94115269464683,40.4301040649414,38.919055435235975,48.99863297020867,-0.2300071755432853,-0.3665220147689191,0.9482201278743264,35255700
HBAN,2021-12-31,13.354159355163574,13.475628566741944,12.986508402824402,13.573714473284156,13.132289838790893,12.690865204297628,55.634272974313845,-0.0188499845110854,-0.082036078311269,0.3224098713406135,-369905900
MSI,2020-12-31,161.7730712890625,159.9443829345703,142.66409954071045,164.24351043009867,160.597802734375,156.95209503865132,47.99931959796596,0.0139492123992113,0.1152355499205817,3.349094286844324,15888500
MSI,2021-12-31,261.91571044921875,245.71708221435543,216.78604553222655,266.02239749427946,252.1584358215332,238.29447414878695,60.26822804018099,4.765739800693183,3.864424732333542,4.6669637169950295,37677000
FCX,2021-12-31,39.75534439086914,36.89140167236328,35.32705300331116,40.90572965230776,37.37174224853515,33.83775484476255,69.2659716329252,0.9883544996321092,0.6394466089301793,1.277954843710134,193934000
ADM,2021-12-31,61.8801155090332,59.37753433227539,56.63796724319458,62.114389707455345,59.51991024017334,56.92543077289133,73.63016158330808,0.6571019599816665,0.3810712081157172,1.0691998133841245,92273000
ADM,2024-12-31,49.96110153198242,52.16230094909668,57.4073948097229,52.9830726425062,50.7730188369751,48.562965031443994,39.044944276768206,-0.7995625972112492,-0.789477900980075,1.0461542766534906,180603100
FE,2021-12-31,36.39450454711914,34.22956077575684,32.562779111862184,36.44222677908492,35.16020565032959,33.878184521574255,81.46975668862551,0.5903246537476647,0.5022765262470713,0.4962939807790962,55021900
FE,2024-12-31,39.35870742797851,40.840072860717775,39.760247287750246,41.0882949576177,39.74160919189453,38.39492342617137,38.205938788110124,-0.5056778118435545,-0.5370127828980551,0.5173195756990719,30588000
ROST,2022-01-31,94.38568115234376,103.8840525817871,112.26864601135254,110.31383690588385,98.58644905090333,86.85906119592282,39.089842875860725,-3.69530710422913,-3.356690990630426,3.589207436852681,-27971600
ROST,2023-01-31,115.66291046142578,113.81832748413086,91.99354595184326,119.3748473436228,115.98046226501464,112.58607718640653,44.31819440230163,1.1220890987900276,1.3519706482833005,1.944654998863334,-8596100
ROST,2024-01-31,138.90478515625,133.9324641418457,116.07894912719726,141.64394847096952,136.5223487854004,131.40074909983127,66.26513573571134,1.9890632218137227,1.7704271012607606,1.8276208728179637,9157500
HCA,2021-12-31,250.04656982421875,238.1564535522461,222.25607597351075,257.6590705107033,241.20538177490235,224.75169303910135,70.51855698933323,4.3364108912605275,3.1741168028478928,5.101899887252935,24584700
