Quarter End Date,Open,High,Low,Close,Volume,Dividends,ETF
2022-12-31,17.453259513998013,17.76620224541523,15.756773658302055,16.08098793029785,874000,0.632,IDX
2023-03-31,16.127302999209633,17.127733122872144,15.30287484994953,16.525623321533203,1170500,0.0,IDX
2023-06-30,16.63677978515625,17.312998289614352,16.17361702449784,16.720149993896484,366300,0.0,IDX
2023-09-30,16.766467509327537,17.433419647757294,16.229198565306667,16.29404067993164,2063100,0.0,IDX
2023-12-31,16.22920011667945,16.57211813239091,14.598868955120379,16.39919090270996,1162600,0.618,IDX
2024-03-31,16.40879842864969,16.629758555427344,15.227134241157597,15.56338119506836,863500,0.0,IDX
2024-06-30,15.467310101439265,16.32233550151137,14.352894599296961,15.198312759399414,786900,0.0,IDX
2024-09-30,15.448095928487266,18.349418359942103,15.08302888471786,17.427143096923828,3584100,0.0,IDX
2024-12-31,17.523212715024385,17.619283327856976,14.256824493408203,14.800000190734863,5500700,0.593,IDX
2025-03-31,15.130000114440918,15.239999771118164,12.420000076293945,12.489999771118164,911000,0.0,IDX
2020-03-31,2974.280029296875,3136.719970703125,2191.860107421875,2584.590087890625,162185380000,0.0,^GSPC
2020-06-30,2498.080078125,3233.1298828125,2447.489990234375,3100.2900390625,362202230000,0.0,^GSPC
2020-09-30,3105.919921875,3588.110107421875,3101.169921875,3363.0,271705430000,0.0,^GSPC
2020-12-31,3385.8701171875,3760.199951171875,3233.93994140625,3756.070068359375,287561840000,0.0,^GSPC
2021-03-31,3764.610107421875,3994.409912109375,3662.7099609375,3972.889892578125,327571270000,0.0,^GSPC
2021-06-30,3992.780029296875,4302.43017578125,3992.780029296875,4297.5,273990130000,0.0,^GSPC
2021-09-30,4300.72998046875,4545.85009765625,4233.1298828125,4307.5400390625,250285240000,0.0,^GSPC
2021-12-31,4317.16015625,4808.93017578125,4278.93994140625,4766.18017578125,261272620000,0.0,^GSPC
2022-03-31,4778.14013671875,4818.6201171875,4114.64990234375,4530.41015625,311776860000,0.0,^GSPC
2022-06-30,4540.31982421875,4593.4501953125,3636.8701171875,3785.3798828125,305344940000,0.0,^GSPC
2022-09-30,3781.0,4325.27978515625,3584.1298828125,3585.6201171875,268181690000,0.0,^GSPC
2022-12-31,3609.780029296875,4100.9599609375,3491.580078125,3839.5,273745000000,0.0,^GSPC
2023-03-31,3853.2900390625,4195.43994140625,3794.330078125,4109.31005859375,274250890000,0.0,^GSPC
2023-06-30,4102.2001953125,4458.47998046875,4048.280029296875,4450.3798828125,247773600000,0.0,^GSPC
2023-09-30,4450.47998046875,4607.06982421875,4238.6298828125,4288.0498046875,235387000000,0.0,^GSPC
2023-12-31,4284.52001953125,4793.2998046875,4103.77978515625,4769.830078125,246020700000,0.0,^GSPC
2024-03-31,4745.2001953125,5264.85009765625,4682.10986328125,5254.35009765625,250104320000,0.0,^GSPC
2024-06-30,5257.97021484375,5523.64013671875,4953.56005859375,5460.47998046875,244622510000,0.0,^GSPC
2024-09-30,5471.080078125,5767.3701171875,5119.259765625,5762.47998046875,240822520000,0.0,^GSPC
2024-12-31,5757.72998046875,6099.97021484375,5674.0,5881.6298828125,252579310000,0.0,^GSPC
2025-03-31,5903.259765625,6147.43017578125,5773.31005859375,5954.5,180956380000,0.0,^GSPC
2020-03-31,25590.509765625,27102.33984375,18213.650390625,21917.16015625,15521140000,0.0,^DJI
2020-06-30,21227.380859375,27580.2109375,20735.01953125,25812.880859375,27456270000,0.0,^DJI
2020-09-30,25879.380859375,29199.349609375,25523.509765625,27781.69921875,25636650000,0.0,^DJI
2020-12-31,27940.630859375,30637.470703125,26143.76953125,30606.48046875,24410620000,0.0,^DJI
2021-03-31,30627.470703125,33259.0,29856.30078125,32981.55078125,24570320000,0.0,^DJI
2021-06-30,33054.578125,35091.55859375,32985.3515625,34502.51171875,20093860000,0.0,^DJI
2021-09-30,34507.3203125,35631.19140625,33613.03125,33843.921875,18875740000,0.0,^DJI
2021-12-31,33930.69921875,36679.44140625,33785.5390625,36338.30078125,22215590000,0.0,^DJI
2022-03-31,36321.58984375,36952.6484375,32272.640625,34678.3515625,25222880000,0.0,^DJI
2022-06-30,34740.890625,35492.21875,29653.2890625,30775.4296875,23736130000,0.0,^DJI
