Ticker,Name,Category,Min Investment
VRIG,Invesco Variable Rate Investment Grade ETF,ETF,1.0
TAXF,American Century Diversified Municipal Bond ETF,ETF,1.0
FLRN,SPDR Bloomberg Investment Grade Floating Rate ETF,ETF,1.0
QINT,American Century Quality Diversified International ETF,ETF,1.0
DBAW,Xtrackers MSCI All World ex US Hedged Equity ETF,ETF,1.0
FTSD,Franklin Short Duration U.S. Government ETF,ETF,1.0
LVHI,Franklin International Low Volatility High Dividend Index ETF,ETF,1.0
TLTD,FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund,ETF,1.0
IGHG,ProShares Investment Grade—Interest Rate Hedged,ETF,1.0
EWT,iShares MSCI Taiwan ETF,ETF,1.0
PXF,Invesco FTSE RAFI Developed Markets ex-U.S. ETF,ETF,1.0
IEFA,iShares Core MSCI EAFE ETF,ETF,1.0
HAWX,iShares Currency Hedged MSCI ACWI ex U.S. ETF,ETF,1.0
HSCZ,iShares Currency Hedged MSCI EAFE Small-Cap ETF,ETF,1.0
IVLU,iShares Edge MSCI Intl Value Factor ETF,ETF,1.0
HEWJ,iShares Currency Hedged MSCI Japan ETF,ETF,1.0
EWW,iShares MSCI Mexico ETF,ETF,1.0
DBJP,Xtrackers MSCI Japan Hedged Equity ETF,ETF,1.0
EUSC,WisdomTree Europe Hedged SmallCap Equity Fund,ETF,1.0
DIVI,Franklin International Core Dividend Tilt Index ETF,ETF,1.0
SLX,VanEck Steel ETF,ETF,1.0
LQDH,iShares Interest Rate Hedged Corporate Bond ETF,ETF,1.0
IGBH,iShares Interest Rate Hedged Long-Term Corporate Bond ETF,ETF,1.0
IDOG,ALPS International Sector Dividend Dogs ETF,ETF,1.0
VYMI,Vanguard International High Dividend Yield Index Fund ETF Shares,ETF,1.0
FNDF,Schwab Fundamental International Equity ETF,ETF,1.0
DXJ,WisdomTree Japan Hedged Equity Fund,ETF,1.0
PIZ,Invesco Dorsey Wright Developed Markets Momentum ETF,ETF,1.0
CEFS,Saba Closed-End Funds ETF,ETF,1.0
IPKW,Invesco International BuyBack Achievers ETF,ETF,1.0
HYZD,WisdomTree Interest Rate Hedged High Yield Bond Fund,ETF,1.0
HYGH,iShares Interest Rate Hedged High Yield Bond ETF,ETF,1.0
DWLD,Davis Select Worldwide ETF,ETF,1.0
ESPO,VanEck Video Gaming and eSports ETF,ETF,1.0
EWM,iShares MSCI Malaysia ETF,ETF,1.0
SMIN,iShares MSCI India Small-Cap ETF,ETF,1.0
INTF,iShares International Equity Factor ETF,ETF,1.0
INEQ,Columbia International Equity Income ETF,ETF,1.0
ECH,iShares MSCI Chile ETF,ETF,1.0
CEW,WisdomTree Emerging Currency Strategy Fund,ETF,1.0
IQDY,FlexShares International Quality Dividend Dynamic Index Fund,ETF,1.0
FFIU,Fieldstone UVA Unconstrained Medium-Term Fixed Income ETF,ETF,1.0
IPAC,iShares Core MSCI Pacific ETF,ETF,1.0
IAU,iShares Gold Trust,ETF,1.0
GLD,SPDR Gold Shares,ETF,1.0
FLJH,Franklin FTSE Japan Hedged ETF,ETF,1.0
GXG,Global X MSCI Colombia ETF,ETF,1.0
ROBO,Robo Global Robotics and Automation Index ETF,ETF,1.0
EWJV,iShares MSCI Japan Value ETF,ETF,1.0
EDIV,SPDR S&P Emerging Markets Dividend ETF,ETF,1.0
DBC,Invesco DB Commodity Index Tracking Fund,ETF,1.0
TUR,iShares MSCI Turkey ETF,ETF,1.0
EYLD,Cambria Emerging Shareholder Yield ETF,ETF,1.0
WLDR,Affinity World Leaders Equity ETF,ETF,1.0
FTGC,First Trust Global Tactical Commodity Strategy Fund,ETF,1.0
EPI,WisdomTree India Earnings Fund,ETF,1.0
DEM,WisdomTree Emerging Markets High Dividend Fund,ETF,1.0
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,ETF,1.0
EMXC,iShares MSCI Emerging Markets ex China ETF,ETF,1.0
VPL,Vanguard FTSE Pacific Index Fund ETF Shares,ETF,1.0
XCEM,Columbia EM Core ex-China ETF,ETF,1.0
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,ETF,1.0
DGS,WisdomTree Emerging Markets SmallCap Dividend Fund,ETF,1.0
THD,iShares MSCI Thailand ETF,ETF,1.0
EMMF,WisdomTree Emerging Markets Multifactor Fund,ETF,1.0
FNDE,Schwab Fundamental Emerging Markets Equity ETF,ETF,1.0
USCI,"United States Commodity Index Fund, LP",ETF,1.0
SDCI,USCF SummerHaven Dynamic Commodity Strategy No K-1 Fund,ETF,1.0
MFEM,PIMCO RAFI Dynamic Multi-Factor Emerging Markets Equity ETF,ETF,1.0
EWX,SPDR S&P Emerging Markets Small Cap ETF,ETF,1.0
ROAM,Hartford Multifactor Emerging Markets ETF,ETF,1.0
COPX,Global X Copper Miners ETF,ETF,1.0
PXH,Invesco FTSE RAFI Emerging Markets ETF,ETF,1.0
EEMS,iShares MSCI Emerging Markets Small-Cap ETF,ETF,1.0
RNEM,First Trust Emerging Markets Equity Select ETF,ETF,1.0
SPEM,SPDR Portfolio Emerging Markets ETF,ETF,1.0
EDOG,ALPS Emerging Sector Dividend Dogs ETF,ETF,1.0
AIA,iShares Asia 50 ETF,ETF,1.0
NFTY,First Trust India NIFTY 50 Equal Weight ETF,ETF,1.0
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,ETF,1.0
EMGF,iShares Emerging Markets Equity Factor ETF,ETF,1.0
UEVM,VictoryShares Emerging Markets Value Momentum ETF,ETF,1.0
CNYA,iShares MSCI China A ETF,ETF,1.0
GMF,SPDR S&P Emerging Asia Pacific ETF,ETF,1.0
FCA,First Trust China AlphaDEX Fund,ETF,1.0
EZA,iShares MSCI South Africa ETF,ETF,1.0
HEEM,iShares Currency Hedged MSCI Emerging Markets ETF,ETF,1.0
INCO,Columbia India Consumer ETF,ETF,1.0
FDEM,Fidelity Emerging Markets Multifactor ETF,ETF,1.0
CHIQ,Global X MSCI China Consumer Discretionary ETF,ETF,1.0
IDX,VanEck Indonesia Index ETF,ETF,1.0
