Ticker,Name,Category,Min Investment
VHT,Vanguard Health Care Index Fund ETF Shares,ETF,1.0
JQUA,JPMorgan U.S. Quality Factor ETF,ETF,1.0
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,ETF,1.0
XSMO,Invesco S&P SmallCap Momentum ETF,ETF,1.0
HTUS,Hull Tactical US ETF,ETF,1.0
ETHO,Amplify Etho Climate Leadership U.S. ETF,ETF,1.0
XLV,The Health Care Select Sector SPDR Fund,ETF,1.0
IYK,iShares US Consumer Staples ETF,ETF,1.0
BFOR,Barron's 400 ETF,ETF,1.0
ABFL,Abacus FCF Leaders ETF,ETF,1.0
PSC,Principal U.S. Small-Cap ETF,ETF,1.0
CWS,AdvisorShares Focused Equity ETF,ETF,1.0
FHLC,Fidelity MSCI Health Care Index ETF,ETF,1.0
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,ETF,1.0
IYH,iShares U.S. Healthcare ETF,ETF,1.0
BJAN,Innovator U.S. Equity Buffer ETF - January,ETF,1.0
SPVM,Invesco S&P 500 Value with Momentum ETF,ETF,1.0
FDVV,Fidelity High Dividend ETF,ETF,1.0
FYX,First Trust Small Cap Core AlphaDEX Fund,ETF,1.0
IVOO,Vanguard S&P Mid-Cap 400 Index Fund ETF Shares,ETF,1.0
SPMD,SPDR Portfolio S&P 400 Mid Cap ETF,ETF,1.0
BJUL,Innovator U.S. Equity Buffer ETF - July,ETF,1.0
RDVY,First Trust Rising Dividend Achievers ETF,ETF,1.0
IETC,iShares U.S. Tech Independence Focused ETF,ETF,1.0
CSA,VictoryShares US Small Cap Volatility Wtd ETF,ETF,1.0
FV,First Trust Dorsey Wright Focus 5 ETF,ETF,1.0
EWC,iShares MSCI Canada ETF,ETF,1.0
SSPY,Stratified LargeCap Index ETF,ETF,1.0
IXC,iShares Global Energy ETF,ETF,1.0
IJH,iShares Core S&P Mid-Cap ETF,ETF,1.0
BOCT,Innovator U.S. Equity Buffer ETF October,ETF,1.0
VB,Vanguard Small-Cap Index Fund ETF Shares,ETF,1.0
GII,SPDR S&P Global Infrastructure ETF,ETF,1.0
DIVB,iShares Core Dividend ETF,ETF,1.0
DON,WisdomTree U.S. MidCap Dividend Fund,ETF,1.0
JVAL,JPMorgan U.S. Value Factor ETF,ETF,1.0
MDYV,SPDR S&P 400 Mid Cap Value ETF,ETF,1.0
VBR,Vanguard Small-Cap Value Index Fund ETF Shares,ETF,1.0
WTV,WisdomTree U.S. Value Fund,ETF,1.0
OUSM,ALPS O'Shares U.S. Small-Cap Quality Dividend ETF Shares,ETF,1.0
