Ticker,Name,GICS Sector,Category
ES,Eversource Energy,Utilities,Blue-Chip
EXC,Exelon,Utilities,Blue-Chip
EXPE,Expedia Group,Consumer Discretionary,Blue-Chip
EXPD,Expeditors International,Industrials,Blue-Chip
EXR,Extra Space Storage,Real Estate,Blue-Chip
XOM,ExxonMobil,Energy,Blue-Chip
FFIV,"F5, Inc.",Information Technology,Blue-Chip
FDS,FactSet,Financials,Blue-Chip
FICO,Fair Isaac,Information Technology,Blue-Chip
FAST,Fastenal,Industrials,Blue-Chip
FRT,Federal Realty Investment Trust,Real Estate,Blue-Chip
FDX,FedEx,Industrials,Blue-Chip
FIS,Fidelity National Information Services,Financials,Blue-Chip
FITB,Fifth Third Bancorp,Financials,Blue-Chip
FSLR,First Solar,Information Technology,Blue-Chip
FE,FirstEnergy,Utilities,Blue-Chip
FI,Fiserv,Financials,Blue-Chip
FMC,FMC Corporation,Materials,Blue-Chip
F,Ford Motor Company,Consumer Discretionary,Blue-Chip
FTNT,Fortinet,Information Technology,Blue-Chip
FTV,Fortive,Industrials,Blue-Chip
FOXA,Fox Corporation (Class A),Communication Services,Blue-Chip
FOX,Fox Corporation (Class B),Communication Services,Blue-Chip
BEN,Franklin Resources,Financials,Blue-Chip
FCX,Freeport-McMoRan,Materials,Blue-Chip
GRMN,Garmin,Consumer Discretionary,Blue-Chip
IT,Gartner,Information Technology,Blue-Chip
GE,GE Aerospace,Industrials,Blue-Chip
GEHC,GE HealthCare,Health Care,Blue-Chip
GEV,GE Vernova,Industrials,Blue-Chip
GEN,Gen Digital,Information Technology,Blue-Chip
GNRC,Generac,Industrials,Blue-Chip
GD,General Dynamics,Industrials,Blue-Chip
GIS,General Mills,Consumer Staples,Blue-Chip
GM,General Motors,Consumer Discretionary,Blue-Chip
GPC,Genuine Parts Company,Consumer Discretionary,Blue-Chip
GILD,Gilead Sciences,Health Care,Blue-Chip
GPN,Global Payments,Financials,Blue-Chip
GL,Globe Life,Financials,Blue-Chip
GDDY,GoDaddy,Information Technology,Blue-Chip
GS,Goldman Sachs,Financials,Blue-Chip
HAL,Halliburton,Energy,Blue-Chip
HIG,Hartford (The),Financials,Blue-Chip
HAS,Hasbro,Consumer Discretionary,Blue-Chip
HCA,HCA Healthcare,Health Care,Blue-Chip
DOC,Healthpeak Properties,Real Estate,Blue-Chip
HSIC,Henry Schein,Health Care,Blue-Chip
HSY,Hershey Company (The),Consumer Staples,Blue-Chip
HES,Hess Corporation,Energy,Blue-Chip
HPE,Hewlett Packard Enterprise,Information Technology,Blue-Chip
HLT,Hilton Worldwide,Consumer Discretionary,Blue-Chip
HOLX,Hologic,Health Care,Blue-Chip
HD,Home Depot (The),Consumer Discretionary,Blue-Chip
HON,Honeywell,Industrials,Blue-Chip
HRL,Hormel Foods,Consumer Staples,Blue-Chip
HST,Host Hotels & Resorts,Real Estate,Blue-Chip
HWM,Howmet Aerospace,Industrials,Blue-Chip
HPQ,HP Inc.,Information Technology,Blue-Chip
HUBB,Hubbell Incorporated,Industrials,Blue-Chip
HUM,Humana,Health Care,Blue-Chip
HBAN,Huntington Bancshares,Financials,Blue-Chip
HII,Huntington Ingalls Industries,Industrials,Blue-Chip
IBM,IBM,Information Technology,Blue-Chip
IEX,IDEX Corporation,Industrials,Blue-Chip
IDXX,Idexx Laboratories,Health Care,Blue-Chip
ITW,Illinois Tool Works,Industrials,Blue-Chip
INCY,Incyte,Health Care,Blue-Chip
IR,Ingersoll Rand,Industrials,Blue-Chip
PODD,Insulet Corporation,Health Care,Blue-Chip
INTC,Intel,Information Technology,Blue-Chip
ICE,Intercontinental Exchange,Financials,Blue-Chip
IFF,International Flavors & Fragrances,Materials,Blue-Chip
IP,International Paper,Materials,Blue-Chip
IPG,Interpublic Group of Companies (The),Communication Services,Blue-Chip
INTU,Intuit,Information Technology,Blue-Chip
ISRG,Intuitive Surgical,Health Care,Blue-Chip
IVZ,Invesco,Financials,Blue-Chip
INVH,Invitation Homes,Real Estate,Blue-Chip
IQV,IQVIA,Health Care,Blue-Chip
IRM,Iron Mountain,Real Estate,Blue-Chip
JBHT,J.B. Hunt,Industrials,Blue-Chip
JBL,Jabil,Information Technology,Blue-Chip
JKHY,Jack Henry & Associates,Financials,Blue-Chip
J,Jacobs Solutions,Industrials,Blue-Chip
JNJ,Johnson & Johnson,Health Care,Blue-Chip
JCI,Johnson Controls,Industrials,Blue-Chip
JPM,JPMorgan Chase,Financials,Blue-Chip
JNPR,Juniper Networks,Information Technology,Blue-Chip
K,Kellanova,Consumer Staples,Blue-Chip
KVUE,Kenvue,Consumer Staples,Blue-Chip
KDP,Keurig Dr Pepper,Consumer Staples,Blue-Chip
KEY,KeyCorp,Financials,Blue-Chip
KEYS,Keysight Technologies,Information Technology,Blue-Chip
KMB,Kimberly-Clark,Consumer Staples,Blue-Chip
KIM,Kimco Realty,Real Estate,Blue-Chip
KMI,Kinder Morgan,Energy,Blue-Chip
KKR,KKR,Financials,Blue-Chip
KLAC,KLA Corporation,Information Technology,Blue-Chip
KHC,Kraft Heinz,Consumer Staples,Blue-Chip
KR,Kroger,Consumer Staples,Blue-Chip
LHX,L3Harris,Industrials,Blue-Chip
LH,LabCorp,Health Care,Blue-Chip
LRCX,Lam Research,Information Technology,Blue-Chip
